	按	3232	0	772
	按	3232	3	772
	按	4004	1	86
	点	4004	2	0
	点	4090	3	0
	点	4175	0	0
	点	4261	2	0
	点	4347	0	0
	点	4347	1	0
	点	4432	3	0
	点	4518	0	0
	点	4604	2	0
	点	4690	1	0
	点	4775	3	0
	点	4861	0	0
	点	4947	2	0
	点	5032	0	0
	点	5032	1	0
	点	5118	3	0
	点	5204	1	0
	点	5290	2	0
	点	5375	1	0
	按	5375	3	86
	点	5461	0	0
	点	5547	2	0
	点	5632	1	0
	点	5718	2	0
	点	5718	3	0
	点	5804	0	0
	点	5890	3	0
	点	5975	1	0
	点	6061	2	0
	点	6147	0	0
	点	6232	3	0
	点	6318	1	0
	点	6404	3	0
	点	6404	2	0
	点	6490	0	0
	点	6575	3	0
	点	6661	0	0
	点	6747	1	0
	按	6747	2	85
	点	6832	3	0
	点	6918	0	0
	点	7004	1	0
	点	7090	2	0
	点	7090	3	0
	点	7175	0	0
	点	7261	3	0
	点	7347	1	0
	点	7432	2	0
	点	7518	0	0
	点	7604	3	0
	点	7690	1	0
	点	7775	2	0
	点	7775	3	0
	点	7861	0	0
	点	7947	2	0
	点	8032	0	0
	点	8118	3	0
	按	8118	1	86
	点	8204	2	0
	点	8290	0	0
	点	8375	3	0
	点	8461	2	0
	点	8461	1	0
	点	8547	3	0
	点	8632	1	0
	按	8632	0	343
	点	8718	3	0
	点	8804	2	0
	点	8890	3	0
	点	8975	1	0
	点	9061	2	0
	点	9147	1	0
	点	9147	0	0
	点	9232	3	0
	点	9318	1	0
	点	9404	3	0
	点	9490	0	0
	点	9490	1	0
	点	9575	2	0
	点	9661	0	0
	点	9747	3	0
	点	9832	1	0
	点	9832	2	0
	点	9918	0	0
	点	10004	3	0
	点	10090	1	0
	点	10175	2	0
	点	10175	3	0
	点	10261	0	0
	点	10347	3	0
	点	10432	0	0
	点	10432	2	0
	点	10518	1	0
	点	10518	3	0
	点	10604	0	0
	点	10690	2	0
	点	10690	3	0
	点	10775	1	0
	点	10861	3	0
	点	10861	0	0
	点	10947	2	0
	点	11032	1	0
	点	11118	3	0
	点	11204	0	0
	点	11204	1	0
	点	11290	2	0
	点	11375	0	0
	点	11461	3	0
	点	11547	2	0
	点	11547	1	0
	点	11632	0	0
	点	11718	3	0
	点	11804	1	0
	点	11890	2	0
	点	11890	3	0
	点	11975	0	0
	点	12061	2	0
	点	12061	1	0
	点	12147	3	0
	点	12232	2	0
	点	12232	0	0
	点	12318	1	0
	点	12404	3	0
	点	12490	0	0
	点	12575	2	0
	点	12575	1	0
	点	12661	3	0
	点	12747	0	0
	点	12832	2	0
	点	12918	0	0
	点	12918	1	0
	点	13004	3	0
	点	13090	0	0
	点	13175	3	0
	点	13175	1	0
	点	13261	0	0
	点	13261	2	0
	点	13347	3	0
	点	13432	1	0
	点	13432	0	0
	点	13518	2	0
	点	13604	0	0
	点	13604	3	0
